axis,block,Group_x,predicate_label_provisional,n_kept
sexual_orientation,bisexual,bisexual,indecisiveness about sexuality,14
sexual_orientation,bisexual,bisexual,promiscuity,6
sexual_orientation,bisexual,bisexual,"promiscuity, infidelity",21
sexual_orientation,gay,gay,child raising,14
sexual_orientation,gay,gay,emotional connection,12
sexual_orientation,gay,gay,family problems,7
sexual_orientation,gay,gay,health,14
sexual_orientation,gay,gay,pedophilia,10
sexual_orientation,gay,gay,sexual aggression,6
sexual_orientation,gay,gay,stereotyped interests of gay men,7
sexual_orientation,gay,gay,stereotypical interests according to gender identity,7
sexual_orientation,lesbian,lesbian,appearance and clothing choices,5
sexual_orientation,lesbian,lesbian,appropriate steps in a romantic relationship,8
sexual_orientation,lesbian,lesbian,emotional connection,6
sexual_orientation,lesbian,lesbian,family problems,7
sexual_orientation,pansexual,pansexual,afraid of commitment,8
