axis,block,Group_x,predicate_label_provisional,n_kept
race,Asian,Asian,CROWS,5
race,Asian,Asian,driving ability,24
race,Asian,Asian,"hypersexuality, prostitution",14
race,Asian,Asian,"meekness, docility, submissiveness",16
race,Black,Black,CROWS,80
race,Black,Black,college admissions bias,12
race,Black,Black,criminality,26
race,Black,Black,drug use,28
race,Black,Black,intelligence,12
race,Hispanic,Hispanic,CROWS,6
race,Hispanic,Hispanic,illegal immigration,9
race,Hispanic,Hispanic,"othering, illegal immigration",18
race,Jewish,Jewish,CROWS,2
race,Middle Eastern,Middle Eastern,lack of women's rights,40
race,Native American,Native American,CROWS,2
race,Native American,Native American,alcoholism,14
race,White,White,CROWS,2
race,race,Afro-American,CROWS,1
race,race,American Indians,CROWS,1
race,race,Asian,CROWS,2
race,race,Black,CROWS,4
race,race,Chinese,CROWS,3
race,race,Chong Ling,CROWS,1
race,race,Davis,CROWS,1
race,race,DeAndre,CROWS,1
race,race,DeShawn,CROWS,2
race,race,DeShawns,CROWS,1
race,race,Hispanic,CROWS,10
race,race,Indian,CROWS,1
race,race,Indians,CROWS,2
race,race,Jaleels,CROWS,1
race,race,Jamal,CROWS,8
race,race,Jamal Jackson,CROWS,1
race,race,James,CROWS,1
race,race,Jose,CROWS,3
race,race,Juan Martinez,CROWS,1
race,race,Juans,CROWS,1
race,race,Julius,CROWS,1
race,race,Laquisha,CROWS,1
race,race,LeBron,CROWS,2
race,race,LeShawn,CROWS,1
race,race,Manuel,CROWS,1
race,race,Micheal,CROWS,3
race,race,Mike,CROWS,1
race,race,Ming,CROWS,1
race,race,Minority,CROWS,1
race,race,Native,CROWS,1
race,race,Native American,CROWS,2
race,race,Rajeev,CROWS,1
race,race,Shaniqua,CROWS,4
race,race,Shevon,CROWS,1
race,race,Terrance,CROWS,2
race,race,Terrell,CROWS,1
race,race,Thomas,CROWS,1
race,race,Tyrone,CROWS,2
race,race,Tyrone was excited,CROWS,1
race,race,Tyrones criminal,CROWS,1
race,race,Wang,CROWS,1
race,race,Won Lee,CROWS,1
race,race,colored,CROWS,1
race,race,dark-skinned,CROWS,1
race,race,young Afro,CROWS,1
