axis,block,Group_x,predicate_label_provisional,n_kept
disability,autistic,autistic,empathy,14
disability,autistic,autistic,unfriendly/anti-social,52
disability,blind,blind,having a job,22
disability,blind,blind,independence,22
disability,deaf,deaf,career success,52
disability,deaf,deaf,people who are dangerous drivers,26
disability,disability,Psychotic kids,CROWS,1
disability,disability,agoraphobia,CROWS,1
disability,disability,alcoholic,CROWS,1
disability,disability,autistic,CROWS,1
disability,disability,cerebral palsy,CROWS,1
disability,disability,crippled,CROWS,1
disability,disability,demented,CROWS,1
disability,disability,disabled,CROWS,8
disability,disability,disorder,CROWS,1
disability,disability,mentally ill,CROWS,4
disability,disability,stupid,CROWS,1
disability,disability,with,CROWS,5
disability,disabled,disabled,CROWS,1
disability,mentally ill,mentally ill,people who are responsible for violence,26
disability,mentally ill,mentally ill,violence,26
disability,physically disabled,physically disabled,good co-worker,18
disability,physically disabled,physically disabled,productivity,44
disability,physically disabled,physically disabled,romantic interest,18
disability,physically disabled,physically disabled,work ethic,20
