identity_id,canonical_label,axis,wq_identity,combined_axis,combined_block,v_bias_source,status,candidates_for_review
disability_able_bodied,able-bodied,disability_status,,disability,,none,unmatched,
disability_autistic,autistic,disability_status,,disability,autistic,combined,matched,
disability_blind,blind,disability_status,,disability,blind,combined,matched,
disability_cerebral_palsy,cerebral palsy,disability_status,,disability,,none,unmatched,
disability_cognitive_impairment,cognitive impairment,disability_status,,disability,,none,unmatched,
disability_deaf,deaf,disability_status,,disability,deaf,combined,matched,
disability_disabled,disabled,disability_status,,disability,disabled,combined,matched,
disability_down_syndrome,Down syndrome,disability_status,,disability,,none,unmatched,
disability_low_vision,low vision,disability_status,,disability,,none,unmatched,
disability_mental_illness,mental illness,disability_status,,disability,,none,ambiguous,mentally ill
disability_nondisabled,nondisabled,disability_status,,disability,,none,ambiguous,disabled
disability_physically_disabled,physically disabled,disability_status,,disability,physically disabled,combined,matched,
gender_cisgender,cisgender,gender_identity,,gender,,none,unmatched,
gender_cisgender_man,cisgender man,gender_identity,,gender,,none,ambiguous,a transgender man; a transgender woman
gender_cisgender_woman,cisgender woman,gender_identity,,gender,,none,ambiguous,a transgender woman; a transgender man
gender_female,female,gender_identity,,gender,,none,unmatched,
gender_male,male,gender_identity,,gender,,none,unmatched,
gender_man,man,gender_identity,,gender,man,combined,matched,
gender_nonbinary,nonbinary,gender_identity,NB,gender,,winoqueer,matched,
gender_transgender,transgender,gender_identity,Transgender,gender,,winoqueer,matched,
gender_transgender_man,transgender man,gender_identity,,gender,a transgender man,combined,matched,
gender_transgender_woman,transgender woman,gender_identity,,gender,a transgender woman,combined,matched,
gender_woman,woman,gender_identity,,gender,a woman,combined,matched,
sex_intersex,intersex,gender_identity,,gender,,none,unmatched,
nationality_afghan,Afghan,nationality,,nationality,,none,unmatched,
nationality_american,American,nationality,,nationality,,none,unmatched,
nationality_british,British,nationality,,nationality,,none,unmatched,
nationality_burmese,Burmese,nationality,,nationality,,none,unmatched,
nationality_canadian,Canadian,nationality,,nationality,,none,unmatched,
nationality_chinese,Chinese,nationality,,nationality,,none,unmatched,
nationality_eritrean,Eritrean,nationality,,nationality,,none,unmatched,
nationality_ethiopian,Ethiopian,nationality,,nationality,,none,unmatched,
nationality_guinean,Guinean,nationality,,nationality,,none,unmatched,
nationality_indian,Indian,nationality,,nationality,,none,unmatched,
nationality_indonesian,Indonesian,nationality,,nationality,,none,unmatched,
nationality_iranian,Iranian,nationality,,nationality,,none,unmatched,
nationality_iraqi,Iraqi,nationality,,nationality,,none,unmatched,
nationality_irish,Irish,nationality,,nationality,,none,unmatched,
nationality_italian,Italian,nationality,,nationality,,none,unmatched,
nationality_japanese,Japanese,nationality,,nationality,,none,unmatched,
nationality_kenyan,Kenyan,nationality,,nationality,,none,ambiguous,MENA
nationality_korean,Korean,nationality,,nationality,,none,unmatched,
nationality_libyan,Libyan,nationality,,nationality,,none,unmatched,
nationality_malian,Malian,nationality,,nationality,,none,unmatched,
nationality_mexican,Mexican,nationality,,nationality,,none,unmatched,
nationality_moroccan,Moroccan,nationality,,nationality,,none,unmatched,
nationality_mozambican,Mozambican,nationality,,nationality,,none,unmatched,
nationality_namibian,Namibian,nationality,,nationality,,none,unmatched,
nationality_nigerian,Nigerian,nationality,,nationality,,none,unmatched,
nationality_pakistani,Pakistani,nationality,,nationality,,none,unmatched,
nationality_palestinian,Palestinian,nationality,,nationality,,none,unmatched,
nationality_saudi,Saudi,nationality,,nationality,,none,unmatched,
nationality_sri_lankan,Sri Lankan,nationality,,nationality,,none,unmatched,
nationality_syrian,Syrian,nationality,,nationality,,none,unmatched,
nationality_thai,Thai,nationality,,nationality,,none,unmatched,
nationality_vietnamese,Vietnamese,nationality,,nationality,,none,unmatched,
nationality_yemeni,Yemeni,nationality,,nationality,,none,ambiguous,MENA
appearance_average_height,average height,physical_appearance,,physical_appearance,,none,unmatched,
appearance_average_weight,average-weight,physical_appearance,,physical_appearance,,none,unmatched,
appearance_fat,fat,physical_appearance,,physical_appearance,,none,unmatched,
appearance_not_pregnant,not pregnant,physical_appearance,,physical_appearance,,none,ambiguous,pregnant
appearance_obese,obese,physical_appearance,,physical_appearance,obese,combined,matched,
appearance_poorly_dressed,poorly dressed,physical_appearance,,physical_appearance,,none,ambiguous,badly dressed
appearance_pregnant,pregnant,physical_appearance,,physical_appearance,pregnant,combined,matched,
appearance_short,short,physical_appearance,,physical_appearance,short,combined,matched,
appearance_tall,tall,physical_appearance,,physical_appearance,,none,unmatched,
appearance_thin,thin,physical_appearance,,physical_appearance,,none,unmatched,
appearance_visible_difference,visible difference,physical_appearance,,physical_appearance,,none,unmatched,
appearance_well_dressed,well-dressed,physical_appearance,,physical_appearance,,none,ambiguous,badly dressed
race_african_american,African American,race_ethnicity,,race,,none,ambiguous,Native American
race_arab,Arab,race_ethnicity,,race,,none,unmatched,
race_asian,Asian,race_ethnicity,,race,Asian,combined,matched,
race_black,Black,race_ethnicity,,race,Black,combined,matched,
race_caucasian,Caucasian,race_ethnicity,,race,,none,ambiguous,Asian
race_hispanic,Hispanic,race_ethnicity,,race,Hispanic,combined,matched,
race_latino,Latino,race_ethnicity,,race,,none,unmatched,
race_middle_eastern,Middle Eastern,race_ethnicity,,race,Middle Eastern,combined,matched,
race_native_american,Native American,race_ethnicity,,race,Native American,combined,matched,
race_roma,Roma,race_ethnicity,,race,,none,unmatched,
race_white,White,race_ethnicity,,race,White,combined,matched,
religion_agnostic,agnostic,religion,,religion,,none,unmatched,
religion_atheist,atheist,religion,,religion,Atheist,combined,matched,
religion_buddhist,Buddhist,religion,,religion,,none,unmatched,
religion_catholic,Catholic,religion,,religion,Catholic,combined,matched,
religion_christian,Christian,religion,,religion,Christian,combined,matched,
religion_hindu,Hindu,religion,,religion,Hindu,combined,matched,
religion_jewish,Jewish,religion,,religion,Jewish,combined,matched,
religion_mormon,Mormon,religion,,religion,Mormon,combined,matched,
religion_muslim,Muslim,religion,,religion,Muslim,combined,matched,
religion_orthodox,Orthodox,religion,,religion,,none,unmatched,
religion_sikh,Sikh,religion,,religion,,none,unmatched,
sexuality_asexual,asexual,sexual_orientation,Asexual,sexual_orientation,,winoqueer,matched,
sexuality_bisexual,bisexual,sexual_orientation,Bisexual,sexual_orientation,bisexual,both,matched,
sexuality_gay,gay,sexual_orientation,Gay,sexual_orientation,gay,both,matched,
sexuality_heterosexual,heterosexual,sexual_orientation,,sexual_orientation,,none,ambiguous,bisexual
sexuality_homosexual,homosexual,sexual_orientation,,sexual_orientation,,none,ambiguous,bisexual; pansexual
sexuality_lesbian,lesbian,sexual_orientation,Lesbian,sexual_orientation,lesbian,both,matched,
sexuality_pansexual,pansexual,sexual_orientation,Pansexual,sexual_orientation,pansexual,both,matched,
sexuality_straight,straight,sexual_orientation,,sexual_orientation,,none,unmatched,
ses_blue_collar,blue-collar,socioeconomic_status,,socioeconomic,,none,unmatched,
ses_high,high socioeconomic status,socioeconomic_status,,socioeconomic,,none,unmatched,
ses_high_earning,high earning,socioeconomic_status,,socioeconomic,,none,unmatched,
ses_low,low socioeconomic status,socioeconomic_status,,socioeconomic,,none,unmatched,
ses_lower_class,lower-class,socioeconomic_status,,socioeconomic,,none,unmatched,
ses_middle_class,middle class,socioeconomic_status,,socioeconomic,,none,unmatched,
ses_poor,poor,socioeconomic_status,,socioeconomic,poor,combined,matched,
ses_rich,rich,socioeconomic_status,,socioeconomic,,none,unmatched,
ses_upper_class,upper-class,socioeconomic_status,,socioeconomic,,none,unmatched,
ses_wealthy,wealthy,socioeconomic_status,,socioeconomic,,none,unmatched,
ses_white_collar,white-collar,socioeconomic_status,,socioeconomic,,none,unmatched,
ses_working_class,working-class,socioeconomic_status,,socioeconomic,,none,unmatched,
