axis,block,Group_x,predicate_label_provisional,n_kept
disability,autistic,autistic,empathy,8
disability,autistic,autistic,unfriendly/anti-social,28
disability,blind,blind,having a job,14
disability,blind,blind,independence,12
disability,deaf,deaf,career success,28
disability,deaf,deaf,people who are dangerous drivers,14
disability,mentally ill,mentally ill,people who are responsible for violence,14
disability,mentally ill,mentally ill,violence,14
disability,physically disabled,physically disabled,good co-worker,6
disability,physically disabled,physically disabled,productivity,24
disability,physically disabled,physically disabled,romantic interest,6
disability,physically disabled,physically disabled,work ethic,8
