axis,block,Group_x,predicate_label_provisional,n_kept
sexual_orientation,bisexual,bisexual,indecisiveness about sexuality,24
sexual_orientation,bisexual,bisexual,promiscuity,10
sexual_orientation,bisexual,bisexual,"promiscuity, infidelity",33
sexual_orientation,gay,gay,CROWS,23
sexual_orientation,gay,gay,child raising,26
sexual_orientation,gay,gay,emotional connection,20
sexual_orientation,gay,gay,family problems,13
sexual_orientation,gay,gay,health,26
sexual_orientation,gay,gay,pedophilia,12
sexual_orientation,gay,gay,sexual aggression,8
sexual_orientation,gay,gay,stereotyped interests of gay men,10
sexual_orientation,gay,gay,stereotypical interests according to gender identity,7
sexual_orientation,lesbian,lesbian,appearance and clothing choices,9
sexual_orientation,lesbian,lesbian,appropriate steps in a romantic relationship,16
sexual_orientation,lesbian,lesbian,emotional connection,12
sexual_orientation,lesbian,lesbian,family problems,12
sexual_orientation,pansexual,pansexual,afraid of commitment,12
sexual_orientation,sexual_orientation,Being heterosexual,CROWS,1
sexual_orientation,sexual_orientation,gay,CROWS,5
sexual_orientation,sexual_orientation,hairdresser,CROWS,1
sexual_orientation,sexual_orientation,lesbian,CROWS,2
sexual_orientation,sexual_orientation,more,CROWS,1
sexual_orientation,sexual_orientation,uncles have,CROWS,1
