axis,block,Group_x,predicate_label_provisional,n_kept
age,age,80,CROWS,1
age,age,College students,CROWS,1
age,age,Sam was,CROWS,1
age,age,advanced,CROWS,1
age,age,grandmother,CROWS,1
age,age,little boy,CROWS,1
age,age,man,CROWS,1
age,age,millenial,CROWS,1
age,age,millenials,CROWS,1
age,age,old,CROWS,3
age,age,th,CROWS,1
age,age,young,CROWS,6
age,old,old,CROWS,16
age,old,old,Inability to use technology?,26
age,old,old,Physical weakness,26
age,old,old,cognitive ability/memory,48
age,old,old,creative ability,26
age,old,old,hearing ability,24
age,old,old,ignorance,26
age,old,old,memory loss,48
age,old,old,out of touch,26
age,old,old,resistance to change,26
age,old,old,stubbornness,24
age,old,old,unattractive,26
age,young,young,CROWS,4
age,young,young,binge drinking,52
age,young,young,irresponsible,24
age,young,young,recklessness,48
age,young,young,risk-taking,48
disability,autistic,autistic,empathy,14
disability,autistic,autistic,unfriendly/anti-social,52
disability,blind,blind,having a job,22
disability,blind,blind,independence,22
disability,deaf,deaf,career success,52
disability,deaf,deaf,people who are dangerous drivers,26
disability,disability,Psychotic kids,CROWS,1
disability,disability,agoraphobia,CROWS,1
disability,disability,alcoholic,CROWS,1
disability,disability,autistic,CROWS,1
disability,disability,cerebral palsy,CROWS,1
disability,disability,crippled,CROWS,1
disability,disability,demented,CROWS,1
disability,disability,disabled,CROWS,8
disability,disability,disorder,CROWS,1
disability,disability,mentally ill,CROWS,4
disability,disability,stupid,CROWS,1
disability,disability,with,CROWS,5
disability,disabled,disabled,CROWS,1
disability,mentally ill,mentally ill,people who are responsible for violence,26
disability,mentally ill,mentally ill,violence,26
disability,physically disabled,physically disabled,good co-worker,18
disability,physically disabled,physically disabled,productivity,44
disability,physically disabled,physically disabled,romantic interest,18
disability,physically disabled,physically disabled,work ethic,20
gender,a man,a man,"ability to do a specific career; the ""feminization"" of specific careers",30
gender,a man,a man,abuser,60
gender,a man,a man,"emotional closedness, lack of empathy",52
gender,a man,a man,violence,36
gender,a transgender man,a transgender man,mental health,50
gender,a transgender woman,a transgender woman,mental health,65
gender,a woman,a woman,STEM skills,48
gender,a woman,a woman,abuse_victim,20
gender,a woman,a woman,emotional,48
gender,a woman,a woman,family responsibility,24
gender,a woman,a woman,gendered occupation,70
gender,a woman,a woman,math ability,50
gender,gender,Bob,CROWS,1
gender,gender,Camille,CROWS,1
gender,gender,Carrie,CROWS,1
gender,gender,Cathy,CROWS,1
gender,gender,Emily,CROWS,1
gender,gender,Greta,CROWS,1
gender,gender,Jeff,CROWS,1
gender,gender,Jenny,CROWS,1
gender,gender,Joe,CROWS,1
gender,gender,Kassandra,CROWS,1
gender,gender,Lara,CROWS,1
gender,gender,Marie,CROWS,1
gender,gender,Mary,CROWS,1
gender,gender,Susan,CROWS,1
gender,gender,Thomas,CROWS,1
gender,gender,man,CROWS,1
gender,gender,transgender,CROWS,2
gender,gender,uncle,CROWS,1
gender,gender,wife,CROWS,2
gender,man,man,CROWS,6
gender,woman,woman,CROWS,23
nationality,East/SE Asian,Burmese,submissiveness,12
nationality,East/SE Asian,Chinese,parental pressure,11
nationality,East/SE Asian,Chinese,submissiveness,10
nationality,East/SE Asian,Indonesian,submissiveness,6
nationality,East/SE Asian,Japanese,parental pressure,10
nationality,East/SE Asian,Japanese,submissiveness,18
nationality,East/SE Asian,Korean,parental pressure,10
nationality,East/SE Asian,Korean,submissiveness,10
nationality,East/SE Asian,Thai,submissiveness,14
nationality,East/SE Asian,Vietnamese,submissiveness,10
nationality,MENA,Afghan,terrorism,11
nationality,MENA,Afghan,violence towards women,14
nationality,MENA,Afghan,violence/terrorism,9
nationality,MENA,Iranian,terrorism,7
nationality,MENA,Iranian,violence towards women,10
nationality,MENA,Iranian,violence/terrorism,9
nationality,MENA,Iraqi,terrorism,11
nationality,MENA,Iraqi,violence towards women,10
nationality,MENA,Iraqi,violence/terrorism,11
nationality,MENA,Libyan,terrorism,10
nationality,MENA,Libyan,violence towards women,6
nationality,MENA,Libyan,violence/terrorism,11
nationality,MENA,Moroccan,violence towards women,6
nationality,MENA,Palestinian,terrorism,12
nationality,MENA,Palestinian,violence towards women,6
nationality,MENA,Palestinian,violence/terrorism,11
nationality,MENA,Saudi,terrorism,9
nationality,MENA,Saudi,violence towards women,14
nationality,MENA,Saudi,violence/terrorism,10
