axis,block,Group_x,predicate_label_provisional,n_kept
gender,a man,a man,"ability to do a specific career; the ""feminization"" of specific careers",30
gender,a man,a man,abuser,60
gender,a man,a man,"emotional closedness, lack of empathy",52
gender,a man,a man,violence,36
gender,a transgender man,a transgender man,mental health,50
gender,a transgender woman,a transgender woman,mental health,65
gender,a woman,a woman,STEM skills,48
gender,a woman,a woman,abuse_victim,20
gender,a woman,a woman,emotional,48
gender,a woman,a woman,family responsibility,24
gender,a woman,a woman,gendered occupation,70
gender,a woman,a woman,math ability,50
gender,gender,Bob,CROWS,1
gender,gender,Camille,CROWS,1
gender,gender,Carrie,CROWS,1
gender,gender,Cathy,CROWS,1
gender,gender,Emily,CROWS,1
gender,gender,Greta,CROWS,1
gender,gender,Jeff,CROWS,1
gender,gender,Jenny,CROWS,1
gender,gender,Joe,CROWS,1
gender,gender,Kassandra,CROWS,1
gender,gender,Lara,CROWS,1
gender,gender,Marie,CROWS,1
gender,gender,Mary,CROWS,1
gender,gender,Susan,CROWS,1
gender,gender,Thomas,CROWS,1
gender,gender,man,CROWS,1
gender,gender,transgender,CROWS,2
gender,gender,uncle,CROWS,1
gender,gender,wife,CROWS,2
gender,man,man,CROWS,6
gender,woman,woman,CROWS,23
