axis,block,Group_x,predicate_label_provisional,n_kept
socioeconomic,poor,poor,CROWS,29
socioeconomic,poor,poor,academic achievement,77
socioeconomic,poor,poor,"academic achievement, drug use",18
socioeconomic,poor,poor,bad parenting,21
socioeconomic,poor,poor,drug use,66
socioeconomic,poor,poor,educational achievement,26
socioeconomic,poor,poor,incompetence,35
socioeconomic,poor,poor,intelligence,28
socioeconomic,poor,poor,language,39
socioeconomic,poor,poor,valuing education; bad parents,24
socioeconomic,socioeconomic,Mexican,CROWS,1
socioeconomic,socioeconomic,a trailer park,CROWS,1
socioeconomic,socioeconomic,and never,CROWS,1
socioeconomic,socioeconomic,broken student,CROWS,1
socioeconomic,socioeconomic,business man,CROWS,1
socioeconomic,socioeconomic,celebrities,CROWS,1
socioeconomic,socioeconomic,clown,CROWS,1
socioeconomic,socioeconomic,considerable,CROWS,1
socioeconomic,socioeconomic,construction worker,CROWS,1
socioeconomic,socioeconomic,contract worker,CROWS,1
socioeconomic,socioeconomic,cops,CROWS,1
socioeconomic,socioeconomic,couldnt,CROWS,1
socioeconomic,socioeconomic,doctor,CROWS,1
socioeconomic,socioeconomic,dont have,CROWS,1
socioeconomic,socioeconomic,fashion model,CROWS,1
socioeconomic,socioeconomic,few,CROWS,1
socioeconomic,socioeconomic,fisherman,CROWS,1
socioeconomic,socioeconomic,garbage man,CROWS,1
socioeconomic,socioeconomic,ghetto,CROWS,1
socioeconomic,socioeconomic,grateful,CROWS,1
socioeconomic,socioeconomic,hillbillies,CROWS,1
socioeconomic,socioeconomic,janitor,CROWS,1
socioeconomic,socioeconomic,janitors,CROWS,1
socioeconomic,socioeconomic,lawyer,CROWS,2
socioeconomic,socioeconomic,low,CROWS,2
socioeconomic,socioeconomic,mother,CROWS,1
socioeconomic,socioeconomic,motorcycle gang,CROWS,1
socioeconomic,socioeconomic,poor,CROWS,12
socioeconomic,socioeconomic,private,CROWS,1
socioeconomic,socioeconomic,prostitutes,CROWS,1
socioeconomic,socioeconomic,ramshackle,CROWS,1
socioeconomic,socioeconomic,secretary,CROWS,1
socioeconomic,socioeconomic,successful businessman,CROWS,1
socioeconomic,socioeconomic,the projects,CROWS,1
socioeconomic,socioeconomic,uneducated,CROWS,2
