identity,predicate_label_provisional,n_available,n_kept,axis,capped,qualifies,structural_zero,level
Asexual,ABNORMALITY_DEVIANCE,44,44,sexual_orientation,False,True,False,identity_x_predicate
Asexual,EXCLUSION_NONBELONGING,0,0,sexual_orientation,False,False,True,identity_x_predicate
Asexual,GENERAL_NEGATIVE_STEREOTYPE,78,78,sexual_orientation,False,True,False,identity_x_predicate
Asexual,IDENTITY_ASSOCIATION,43,43,sexual_orientation,False,True,False,identity_x_predicate
Asexual,INAUTHENTICITY_ILLEGITIMACY,492,100,sexual_orientation,True,True,False,identity_x_predicate
Asexual,PATHOLOGIZING_MEDICALIZING,200,100,sexual_orientation,True,True,False,identity_x_predicate
Asexual,SEXUAL_MORAL_THREAT,3,3,sexual_orientation,False,False,False,identity_x_predicate
Asexual,SOCIAL_PROFESSIONAL_INCOMPETENCE,37,37,sexual_orientation,False,True,False,identity_x_predicate
Asexual,UNCLEAR_OTHER,119,100,sexual_orientation,True,True,False,identity_x_predicate
Asexual,VIOLENCE_HARM,0,0,sexual_orientation,False,False,True,identity_x_predicate
Bisexual,ABNORMALITY_DEVIANCE,72,72,sexual_orientation,False,True,False,identity_x_predicate
Bisexual,EXCLUSION_NONBELONGING,262,100,sexual_orientation,True,True,False,identity_x_predicate
Bisexual,GENERAL_NEGATIVE_STEREOTYPE,230,100,sexual_orientation,True,True,False,identity_x_predicate
Bisexual,IDENTITY_ASSOCIATION,294,100,sexual_orientation,True,True,False,identity_x_predicate
Bisexual,INAUTHENTICITY_ILLEGITIMACY,568,100,sexual_orientation,True,True,False,identity_x_predicate
Bisexual,PATHOLOGIZING_MEDICALIZING,2,2,sexual_orientation,False,False,False,identity_x_predicate
Bisexual,SEXUAL_MORAL_THREAT,313,100,sexual_orientation,True,True,False,identity_x_predicate
Bisexual,SOCIAL_PROFESSIONAL_INCOMPETENCE,74,74,sexual_orientation,False,True,False,identity_x_predicate
Bisexual,UNCLEAR_OTHER,1,1,sexual_orientation,False,False,False,identity_x_predicate
Bisexual,VIOLENCE_HARM,16,16,sexual_orientation,False,False,False,identity_x_predicate
Gay,ABNORMALITY_DEVIANCE,107,100,sexual_orientation,True,True,False,identity_x_predicate
Gay,EXCLUSION_NONBELONGING,94,94,sexual_orientation,False,True,False,identity_x_predicate
Gay,GENERAL_NEGATIVE_STEREOTYPE,309,100,sexual_orientation,True,True,False,identity_x_predicate
Gay,IDENTITY_ASSOCIATION,71,71,sexual_orientation,False,True,False,identity_x_predicate
Gay,INAUTHENTICITY_ILLEGITIMACY,57,57,sexual_orientation,False,True,False,identity_x_predicate
Gay,PATHOLOGIZING_MEDICALIZING,150,100,sexual_orientation,True,True,False,identity_x_predicate
Gay,SEXUAL_MORAL_THREAT,317,100,sexual_orientation,True,True,False,identity_x_predicate
Gay,SOCIAL_PROFESSIONAL_INCOMPETENCE,5,5,sexual_orientation,False,False,False,identity_x_predicate
Gay,UNCLEAR_OTHER,162,100,sexual_orientation,True,True,False,identity_x_predicate
Gay,VIOLENCE_HARM,191,100,sexual_orientation,True,True,False,identity_x_predicate
LGBTQ,ABNORMALITY_DEVIANCE,905,100,umbrella,True,True,False,identity_x_predicate
LGBTQ,EXCLUSION_NONBELONGING,0,0,umbrella,False,False,True,identity_x_predicate
LGBTQ,GENERAL_NEGATIVE_STEREOTYPE,349,100,umbrella,True,True,False,identity_x_predicate
LGBTQ,IDENTITY_ASSOCIATION,14,14,umbrella,False,False,False,identity_x_predicate
LGBTQ,INAUTHENTICITY_ILLEGITIMACY,84,84,umbrella,False,True,False,identity_x_predicate
LGBTQ,PATHOLOGIZING_MEDICALIZING,538,100,umbrella,True,True,False,identity_x_predicate
LGBTQ,SEXUAL_MORAL_THREAT,793,100,umbrella,True,True,False,identity_x_predicate
LGBTQ,SOCIAL_PROFESSIONAL_INCOMPETENCE,459,100,umbrella,True,True,False,identity_x_predicate
LGBTQ,UNCLEAR_OTHER,527,100,umbrella,True,True,False,identity_x_predicate
LGBTQ,VIOLENCE_HARM,370,100,umbrella,True,True,False,identity_x_predicate
Lesbian,ABNORMALITY_DEVIANCE,75,75,sexual_orientation,False,True,False,identity_x_predicate
Lesbian,EXCLUSION_NONBELONGING,10,10,sexual_orientation,False,False,False,identity_x_predicate
Lesbian,GENERAL_NEGATIVE_STEREOTYPE,169,100,sexual_orientation,True,True,False,identity_x_predicate
Lesbian,IDENTITY_ASSOCIATION,129,100,sexual_orientation,True,True,False,identity_x_predicate
Lesbian,INAUTHENTICITY_ILLEGITIMACY,164,100,sexual_orientation,True,True,False,identity_x_predicate
Lesbian,PATHOLOGIZING_MEDICALIZING,129,100,sexual_orientation,True,True,False,identity_x_predicate
Lesbian,SEXUAL_MORAL_THREAT,91,91,sexual_orientation,False,True,False,identity_x_predicate
Lesbian,SOCIAL_PROFESSIONAL_INCOMPETENCE,30,30,sexual_orientation,False,True,False,identity_x_predicate
Lesbian,UNCLEAR_OTHER,7,7,sexual_orientation,False,False,False,identity_x_predicate
Lesbian,VIOLENCE_HARM,41,41,sexual_orientation,False,True,False,identity_x_predicate
NB,ABNORMALITY_DEVIANCE,0,0,gender_identity,False,False,True,identity_x_predicate
NB,EXCLUSION_NONBELONGING,0,0,gender_identity,False,False,True,identity_x_predicate
NB,GENERAL_NEGATIVE_STEREOTYPE,93,93,gender_identity,False,True,False,identity_x_predicate
NB,IDENTITY_ASSOCIATION,43,43,gender_identity,False,True,False,identity_x_predicate
NB,INAUTHENTICITY_ILLEGITIMACY,126,100,gender_identity,True,True,False,identity_x_predicate
NB,PATHOLOGIZING_MEDICALIZING,43,43,gender_identity,False,True,False,identity_x_predicate
NB,SEXUAL_MORAL_THREAT,61,61,gender_identity,False,True,False,identity_x_predicate
NB,SOCIAL_PROFESSIONAL_INCOMPETENCE,15,15,gender_identity,False,False,False,identity_x_predicate
NB,UNCLEAR_OTHER,8,8,gender_identity,False,False,False,identity_x_predicate
NB,VIOLENCE_HARM,1,1,gender_identity,False,False,False,identity_x_predicate
Pansexual,ABNORMALITY_DEVIANCE,84,84,sexual_orientation,False,True,False,identity_x_predicate
Pansexual,EXCLUSION_NONBELONGING,87,87,sexual_orientation,False,True,False,identity_x_predicate
Pansexual,GENERAL_NEGATIVE_STEREOTYPE,1,1,sexual_orientation,False,False,False,identity_x_predicate
Pansexual,IDENTITY_ASSOCIATION,64,64,sexual_orientation,False,True,False,identity_x_predicate
Pansexual,INAUTHENTICITY_ILLEGITIMACY,0,0,sexual_orientation,False,False,True,identity_x_predicate
Pansexual,PATHOLOGIZING_MEDICALIZING,0,0,sexual_orientation,False,False,True,identity_x_predicate
Pansexual,SEXUAL_MORAL_THREAT,262,100,sexual_orientation,True,True,False,identity_x_predicate
Pansexual,SOCIAL_PROFESSIONAL_INCOMPETENCE,4,4,sexual_orientation,False,False,False,identity_x_predicate
Pansexual,UNCLEAR_OTHER,1,1,sexual_orientation,False,False,False,identity_x_predicate
Pansexual,VIOLENCE_HARM,6,6,sexual_orientation,False,False,False,identity_x_predicate
Queer,ABNORMALITY_DEVIANCE,301,100,umbrella,True,True,False,identity_x_predicate
Queer,EXCLUSION_NONBELONGING,306,100,umbrella,True,True,False,identity_x_predicate
Queer,GENERAL_NEGATIVE_STEREOTYPE,791,100,umbrella,True,True,False,identity_x_predicate
Queer,IDENTITY_ASSOCIATION,204,100,umbrella,True,True,False,identity_x_predicate
Queer,INAUTHENTICITY_ILLEGITIMACY,101,100,umbrella,True,True,False,identity_x_predicate
Queer,PATHOLOGIZING_MEDICALIZING,233,100,umbrella,True,True,False,identity_x_predicate
Queer,SEXUAL_MORAL_THREAT,1429,100,umbrella,True,True,False,identity_x_predicate
Queer,SOCIAL_PROFESSIONAL_INCOMPETENCE,49,49,umbrella,False,True,False,identity_x_predicate
Queer,UNCLEAR_OTHER,546,100,umbrella,True,True,False,identity_x_predicate
Queer,VIOLENCE_HARM,203,100,umbrella,True,True,False,identity_x_predicate
Transgender,ABNORMALITY_DEVIANCE,1,1,gender_identity,False,False,False,identity_x_predicate
Transgender,EXCLUSION_NONBELONGING,0,0,gender_identity,False,False,True,identity_x_predicate
Transgender,GENERAL_NEGATIVE_STEREOTYPE,265,100,gender_identity,True,True,False,identity_x_predicate
Transgender,IDENTITY_ASSOCIATION,148,100,gender_identity,True,True,False,identity_x_predicate
Transgender,INAUTHENTICITY_ILLEGITIMACY,278,100,gender_identity,True,True,False,identity_x_predicate
Transgender,PATHOLOGIZING_MEDICALIZING,135,100,gender_identity,True,True,False,identity_x_predicate
Transgender,SEXUAL_MORAL_THREAT,143,100,gender_identity,True,True,False,identity_x_predicate
Transgender,SOCIAL_PROFESSIONAL_INCOMPETENCE,2,2,gender_identity,False,False,False,identity_x_predicate
Transgender,UNCLEAR_OTHER,9,9,gender_identity,False,False,False,identity_x_predicate
Transgender,VIOLENCE_HARM,1,1,gender_identity,False,False,False,identity_x_predicate
gender_identity,,1372,877,,,,,axis
sexual_orientation,,5665,2998,,,,,axis
umbrella,,8202,1747,,,,,axis
Asexual,,1016,505,,,,,identity
Bisexual,,1832,665,,,,,identity
Gay,,1463,827,,,,,identity
LGBTQ,,4039,798,,,,,identity
Lesbian,,845,654,,,,,identity
NB,,390,364,,,,,identity
Pansexual,,509,347,,,,,identity
Queer,,4163,949,,,,,identity
Transgender,,982,513,,,,,identity
